Unique ID,Start Date,End Date,"Q1. What is your current age? 
(Age)","Q2. What is your gender? 
(Gender)","Q3. Which of the following best describes the area or community in which you live? 
(Urban/Rural)","Q4.  Please indicate the answer that includes your entire household income in (previous year) before taxes. 
(Income)","Q6 Which of the following types of alcoholic beverages have you consumed in the past 4 weeks?
(Alcohol Category)",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,"Q7. Which of the following beer types of have you consumed in the past 4 weeks? 
(Beer Category )",Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,"Q9. How relevant would you say the shown product is to you based on what you saw and read?
(Concept Relevance)","Q10. How appealing or unappealing is the shown product  to you?
(Concept Appeal)","Q11. How different do you think the shown product is from other beers currently available for purchase?
(Concept Differentiation)","Q12. Thinking about the shown product, which option describes how believable or unbelievable you feel the description and statements made about it are?
(Concept Beleivability)","Q13. How does the price fit with what you’d expect the shown to cost?
(Concept_Price)","Q14. Which statement below best describes how likely you would be to buy shown product if it were available at your local stores?
(Concept_Purchase Intent)","Q15. If the shwon product was available to you, how often would you expect yourself to drink at least one of these products?
(Concept_Drinking Frequency)",Q16A. What is the most important thing you LIKE about the shown concept}?     This can include anything you would want kept for sure or aspects that might drive you to buy or try it…       Please type a detailed response in the space below,"Q16B. What is the most important thing you DISLIKE about the shown concept}?    This can include general concerns, annoyances, or any aspects of the product that need fixed for this to be more appealing to you...     Please type a detailed response in the space below.","Q17. We would like to know what effect this new product might have on the other beverages you buy. If it were available, would the shown product…? 
(Concept_Replacement Product)","Q18_1 What specific product that you are currently using would the shown product replace?
 Please type in ONE specific brand or product per space provided.","Q18_2 What specific product that you are currently using would the shown concept replace?
 Please type in ONE specific brand or product per space provided.","Q18_3 What specific product that you are currently using would the shown concept replace?
 Please type in ONE specific brand or product per space provided.",OE_Quality_Flag,Unnamed: 36,"Q18_1 What specific product that you are currently using would the shown product replace?
 Please type in ONE specific brand or product per space provided._flag","Q18_2 What specific product that you are currently using would the shown concept replace?
 Please type in ONE specific brand or product per space provided._flag","Q18_3 What specific product that you are currently using would the shown concept replace?
 Please type in ONE specific brand or product per space provided._flag"
,,,,,,,Beer, Flavored/Mixed Beer, Non-Alcoholic Beers, Hard Ciders, Hard Kombucha, Wine, Hard Beverage, Distilled Spirits,Domestic Light Beer,Domestic Regular Beer,Low Calorie Carb Beer,Domestic Craft,Imported Mexican Beer,Other Imported Beer,Non-Alcoholic Beer,,,,,,,,,,,,,,,,0,0,0
1.0,2024-10-11 09:41:31,2024-10-11 09:49:38,62.0,2.0,3.0,1.0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,It's a classic brand.,Nothing specific to dislike.,1.0,,,,0.0,,0,0,0
2.0,2024-10-11 09:41:41,2024-10-11 09:50:42,35.0,1.0,1.0,12.0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,4.0,4.0,3.0,3.0,3.0,5.0,7.0,Taste,The glass,1.0,,,,0.0,,0,0,0
9.0,2024-10-11 09:41:03,2024-10-11 09:57:26,62.0,1.0,3.0,4.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4.0,4.0,3.0,3.0,4.0,3.0,7.0,Why?,Pure is a misnomer,1.0,,,,1.0,,0,0,0
22.0,2024-10-11 10:14:09,2024-10-11 10:22:43,64.0,1.0,1.0,11.0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,I have a lot to say,Not really,2.0,,Beer,Drink,1.0,,0,0,1
30.0,2024-10-11 10:15:41,2024-10-11 10:55:10,57.0,2.0,1.0,4.0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,4.0,5.0,1.0,3.0,3.0,5.0,7.0,I love Michelob brand and the bottle shape and color is ery appealing,There is nothing I dislike,1.0,,,,0.0,,0,0,0
34.0,2024-10-11 11:28:26,2024-10-11 11:39:04,61.0,1.0,3.0,11.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3.0,3.0,3.0,3.0,3.0,4.0,6.0,it's michelob,nothing,2.0,michelob ultra,na,na,0.0,,0,1,1
54.0,2024-10-12 06:16:39,2024-10-12 06:30:17,54.0,2.0,4.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,1.0,4.0,2.0,3.0,1.0,0.0,I don't,Dislike,1.0,,,,1.0,,0,0,0
68.0,2024-10-12 10:11:18,2024-10-12 10:28:37,42.0,1.0,1.0,12.0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,4.0,4.0,4.0,3.0,4.0,5.0,7.0,"Michelob ULTRA Pure Gold is distinguished by its use of organic ingredients and refreshing taste, with low calories.",Nothing,3.0,Other Light lagers,regular lagers or ales,Hard Seltzers,0.0,,0,0,1
82.0,2024-10-12 12:33:39,2024-10-12 12:44:25,25.0,2.0,1.0,4.0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,That it had less calories,Nothing,1.0,,,,0.0,,0,0,0
110.0,2024-10-12 14:50:54,2024-10-12 14:59:54,51.0,1.0,3.0,7.0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,3.0,3.0,3.0,2.0,3.0,2.0,6.0,No response,No response,1.0,,,,1.0,,0,0,0
116.0,2024-10-12 14:42:18,2024-10-12 15:28:04,57.0,1.0,2.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.0,4.0,3.0,4.0,3.0,5.0,6.0,Smooth taste,I prefer Ultra Gold  nothing that I dislike,1.0,,,,0.0,,0,0,0
122.0,2024-10-12 15:30:35,2024-10-12 15:41:45,46.0,1.0,2.0,1.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,I would buy it if they were out of my regular beer. It's not bad and is more refreshing than some other light beers.,It can be a bit harsh on the after taste but not too bad.,2.0,Keystone,Bud Light,Budweiser,0.0,,0,0,0
139.0,2024-10-12 17:34:12,2024-10-12 17:42:37,33.0,1.0,2.0,5.0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,I don’t like it.,It looks bad.,2.0,Budweiser,Carona,Miller,1.0,,0,1,0
164.0,2024-10-12 18:59:49,2024-10-12 19:35:08,54.0,2.0,3.0,4.0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,4.0,4.0,2.0,3.0,4.0,4.0,3.0,I have try it see how smoothly it goes down,I have no dislikes,2.0,Corona,Bud light,Miller light,0.0,,0,0,0
186.0,2024-10-12 23:03:58,2024-10-12 23:13:05,43.0,2.0,1.0,8.0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,I like michelob,Nothing,1.0,,,,0.0,,0,0,0
220.0,2024-10-13 06:40:06,2024-10-13 06:53:11,45.0,2.0,1.0,8.0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,5.0,5.0,4.0,4.0,2.0,5.0,7.0,I like the taste and it doesn't leave my gut feeling heavy,I don't dislike anything,3.0,Budweiser,Miller high Life,211,0.0,,0,0,1
243.0,2024-10-13 11:21:06,2024-10-13 11:31:15,34.0,1.0,2.0,11.0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,5.0,4.0,3.0,3.0,4.0,5.0,6.0,Quality,Not sure,2.0,Good,Gold,Usda,1.0,,1,1,1
248.0,2024-10-13 11:43:04,2024-10-13 11:57:57,37.0,1.0,1.0,11.0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,4.0,4.0,4.0,3.0,2.0,5.0,7.0,really good qualiyt and good offerings,the taste could be stronger,1.0,,,,0.0,,0,0,0
252.0,2024-10-13 12:08:03,2024-10-13 12:23:55,63.0,1.0,1.0,11.0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,5.0,5.0,4.0,4.0,3.0,5.0,7.0,It has a smooth and refreshing taste,Nothing,2.0,Golsh,Bud lite,Bud dry,0.0,,1,1,1
