Unique ID,Start Date,End Date,"Q1. What is your current age? 
(Age)","Q2. What is your gender? 
(Gender)","Q3. Which of the following best describes the area or community in which you live? 
(Urban/Rural)","Q4.  Please indicate the answer that includes your entire household income in (previous year) before taxes. 
(Income)","Q6 Which of the following types of alcoholic beverages have you consumed in the past 4 weeks?
(Alcohol Category)",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,"Q7. Which of the following beer types of have you consumed in the past 4 weeks? 
(Beer Category )",Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,"Q9. How relevant would you say the shown product is to you based on what you saw and read?
(Concept Relevance)","Q10. How appealing or unappealing is the shown product  to you?
(Concept Appeal)","Q11. How different do you think the shown product is from other beers currently available for purchase?
(Concept Differentiation)","Q12. Thinking about the shown product, which option describes how believable or unbelievable you feel the description and statements made about it are?
(Concept Beleivability)","Q13. How does the price fit with what you’d expect the shown to cost?
(Concept_Price)","Q14. Which statement below best describes how likely you would be to buy shown product if it were available at your local stores?
(Concept_Purchase Intent)","Q15. If the shwon product was available to you, how often would you expect yourself to drink at least one of these products?
(Concept_Drinking Frequency)",Q16A. What is the most important thing you LIKE about the shown concept}?     This can include anything you would want kept for sure or aspects that might drive you to buy or try it…       Please type a detailed response in the space below,"Q16B. What is the most important thing you DISLIKE about the shown concept}?    This can include general concerns, annoyances, or any aspects of the product that need fixed for this to be more appealing to you...     Please type a detailed response in the space below.","Q17. We would like to know what effect this new product might have on the other beverages you buy. If it were available, would the shown product…? 
(Concept_Replacement Product)","Q18_1 What specific product that you are currently using would the shown product replace?
 Please type in ONE specific brand or product per space provided.","Q18_2 What specific product that you are currently using would the shown concept replace?
 Please type in ONE specific brand or product per space provided.","Q18_3 What specific product that you are currently using would the shown concept replace?
 Please type in ONE specific brand or product per space provided.",OE_Quality_Flag,AI_Detection_29,AI_Detection_30
,,,,,,,Beer, Flavored/Mixed Beer, Non-Alcoholic Beers, Hard Ciders, Hard Kombucha, Wine, Hard Beverage, Distilled Spirits,Domestic Light Beer,Domestic Regular Beer,Low Calorie Carb Beer,Domestic Craft,Imported Mexican Beer,Other Imported Beer,Non-Alcoholic Beer,,,,,,,,,,,,,,,Human-Written,Human-Written
3.0,2024-10-11 09:43:37,2024-10-11 09:53:40,60.0,2.0,3.0,12.0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,the packaging,nothing,1.0,,,,0.0,Human-Written,Human-Written
5.0,2024-10-11 09:42:41,2024-10-11 09:55:49,61.0,1.0,3.0,3.0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,It's a good and trusted brand.,It's seem some what generic.,2.0,Heineken,Miller Lite,Budwieser,0.0,Human-Written,Human-Written
6.0,2024-10-11 09:46:20,2024-10-11 09:56:42,58.0,1.0,1.0,8.0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2.0,3.0,3.0,4.0,3.0,1.0,0.0,Just that it is a lager beer,I don't like Anheiser Busch and their values and do not purchase their products,1.0,,,,0.0,Human-Written,Human-Written
8.0,2024-10-11 09:47:15,2024-10-11 09:57:19,55.0,1.0,3.0,11.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,4.0,4.0,4.0,3.0,3.0,5.0,7.0,has a less filling effect,no dislike,2.0,michelob ultra,Miller light,corona,0.0,Human-Written,Human-Written
10.0,2024-10-11 09:45:24,2024-10-11 09:57:30,64.0,1.0,5.0,3.0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,5.0,5.0,5.0,4.0,5.0,5.0,6.0,Everything,Nothing,3.0,Coors light,Bud,Coors,0.0,Human-Written,Human-Written
11.0,2024-10-11 09:43:50,2024-10-11 09:58:06,61.0,2.0,4.0,1.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3.0,5.0,3.0,3.0,3.0,1.0,3.0,Appealing label,Price,1.0,,,,0.0,Human-Written,Human-Written
12.0,2024-10-11 09:49:22,2024-10-11 09:59:15,65.0,2.0,3.0,11.0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,4.0,5.0,3.0,4.0,3.0,5.0,5.0,A light beer upgraded with better taste,Nothing,2.0,Local craft beer,Sam adams,Coors light,0.0,Human-Written,Human-Written
13.0,2024-10-11 09:41:00,2024-10-11 10:05:14,54.0,2.0,3.0,7.0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,5.0,5.0,5.0,4.0,1.0,5.0,7.0,"This product is completely ""Golden"" as it has been named!",I do not dislike anything about this product.,2.0,Miller Lite,Budweiser,Modelo,0.0,Human-Written,Human-Written
14.0,2024-10-11 09:49:26,2024-10-11 10:08:18,62.0,1.0,4.0,12.0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,Looks like.it might be a good tasting beer,Nothing i saw,2.0,Budwiser,Heineken,Corona,0.0,Human-Written,Human-Written
16.0,2024-10-11 10:02:07,2024-10-11 10:11:41,42.0,1.0,5.0,7.0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2.0,2.0,2.0,4.0,5.0,1.0,2.0,I mean it's beer so that's good but really I don't drink that brand,No complaints from me,1.0,,,,0.0,Human-Written,Human-Written
17.0,2024-10-11 10:02:54,2024-10-11 10:13:36,46.0,2.0,3.0,10.0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,2.0,2.0,4.0,3.0,4.0,2.0,0.0,less calories,not enough abv% and too $,1.0,,,,0.0,Human-Written,Human-Written
18.0,2024-10-11 09:59:20,2024-10-11 10:14:25,39.0,1.0,1.0,4.0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,4.0,5.0,2.0,3.0,3.0,4.0,6.0,That it has a nice smooth flavor,Can't think of anything,2.0,Corona,Smirnoff ice,Mike's hard lemonade,0.0,Human-Written,Human-Written
19.0,2024-10-11 10:01:01,2024-10-11 10:19:12,57.0,1.0,1.0,11.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,Taste was good,,2.0,MGD,Miller lite,Budweiser,1.0,Human-Written,Human-Written
21.0,2024-10-11 10:12:05,2024-10-11 10:22:32,65.0,2.0,5.0,5.0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,4.0,5.0,2.0,3.0,3.0,4.0,5.0,Its flavor is what I like. It is light but still with a full body.,It is not often enough on sale but this is not about the quality.,2.0,Dos Equis,Lagunitas,Sierra Nevada,0.0,Human-Written,Human-Written
23.0,2024-10-11 10:08:44,2024-10-11 10:25:56,61.0,2.0,5.0,3.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,"I like the lower calories. I like a light tasting, refreshing beer.",The organic claim is weak. It has been proven that organic is no better than non-organic.,2.0,Bud Light,Chelado,Modelo,0.0,Human-Written,Human-Written
24.0,2024-10-11 10:17:10,2024-10-11 10:27:22,62.0,1.0,3.0,3.0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1.0,1.0,3.0,3.0,5.0,1.0,4.0,I wouldn't want it,Low alcohol content,1.0,,,,0.0,Human-Written,Human-Written
26.0,2024-10-11 09:44:13,2024-10-11 10:32:13,60.0,1.0,3.0,6.0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,5.0,4.0,4.0,4.0,3.0,4.0,7.0,Low calorie and good taste,Not sure what replaced the carbs,1.0,,,,0.0,Human-Written,Human-Written
29.0,2024-10-11 10:39:47,2024-10-11 10:50:44,50.0,1.0,3.0,9.0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,3.0,4.0,4.0,3.0,3.0,3.0,5.0,IT HAS A CRISP TASTE,NOTHING,1.0,,,,0.0,Human-Written,Human-Written
31.0,2024-10-11 10:43:36,2024-10-11 10:58:08,55.0,1.0,3.0,9.0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,5.0,5.0,5.0,4.0,3.0,4.0,7.0,I like the carb and calorie count,I did not see anything that looks unappealing.,1.0,,,,0.0,Human-Written,Human-Written
32.0,2024-10-11 11:12:40,2024-10-11 11:24:36,34.0,1.0,1.0,9.0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,5.0,4.0,4.0,4.0,2.0,5.0,7.0,"I love the design and how it comes with sustainability and the likes,I love how the description is easy to understand and comprehend too.
great concept with the design!",I do not dislike anything about this concept.,3.0,Budweiser,Heineken,bud light,0.0,Human-Written,Human-Written
