Index,Brand,Product
0,Crafty Dan,13 Guns
1,Greene King,Abbot Ale
2,Addlestones,Addlestones Cloudy
3,Stone,Addlestones Cloudy
4,Adnams,Adnams Broadside
5,Alhambra,Alhambra Especial
6,Amigos,Amigos
7,Amstel,Amstel
8,Anchor,Anchor California Lager
9,Angry Orchard,Angry Orchard Cider
10,Ansells,Ansells Drum Mild
11,Asahi,Asahi Super Dry
12,Ashton Press,Ashton Press Cider
13,Aspall,Aspall Cyder
14,Babycham,Babycham Popping Cork
15,Bad Apple,Bad Apple Cider
16,Wychwood,Bah Humbug
17,Bass,Bass
18,Bath Ales,Bath Ales Gem
19,Beck's,Beck's Bier
20,Bedlam,Bedlam Pale Ale
21,Beerd,Beerd Monterey
22,Belhaven,Belhaven Best
23,Bellerose,Bellerose Blonde
24,Belleville,Belleville Balham Black Lager
25,Bellfield,Bellfield Bohemian Pilsner Gluten Free
26,The London Beer Factory,Berliner Heist
27,Berliner,Berliner Pilsner
28,Skinners,Betty Stogs
29,Big Hug Brewing,Big Hug Juicy Pale
30,Birra del Borgo,Birra del Borgo Cortigianna
31,Birra Moretti,Birra Moretti
32,Poretti,Birra Poretti
33,Oakham Ales,Bishops Farewell
34,Shepherd Neame,Bishops Finger
35,Bitburger,Bitburger Pils
36,Black Sheep,Black Sheep Ale
37,Blackthorn,Blackthorn Gold
38,Blind Pig,Blind Pig Bourbon & Blueberry
39,Blue Moon,Blue Moon
40,Blue Point,Blue Point Toasted
41,Boddingtons,Boddingtons
42,Bolee D'Armorique,Bolee D'Armorique Cidre Brut
43,Bombardier,Bombardier
44,Boulevard,Boulevard Single-Wide IPA
45,Brahma,Brahma
46,Brains,Brains Bitter Smooth
47,BrewDog,BrewDog 5AM Saint
48,Brewgooder,Brewgooder Clean Water Lager
49,Brooklyn,Brooklyn 1/2 Ale
50,Brothers,Brothers Coconut & Lime
51,St Austell,Bucket Of Blood
52,Budweiser,Bud Light
53,Budweiser Budvar,Budweiser Budvar
54,Bulmers,Bulmers Blueberry and Lime
55,Kissmeyer,Burning Kiss
56,Butcombe,Butcombe Bitter
57,By The Horns,By The Horns 2Tone London Lager
58,Williams Bros. Brewing Co.,Caesar Augustus
59,Caffrey's,Caffrey's
60,Caledonia,Caledonia Best
61,Caledonian,Caledonian Three Hop
62,Camden Town,Camden Hells
63,Camerons Brewery,Camerons Brewery Motorhead Road Crew
64,Caple Rd,Caple Rd Cider
65,Carling,Carling Cider
66,Carlsberg,Carlsberg Export
67,Celt,Celt Chieftain
68,Ceriux,Ceriux Rubia
69,Chang,Chang Classic Beer
70,Charlie Wells,Charlie Wells Triple Hopped IPA
71,Chaumet,Chaumet Demi Sec
72,Chimay,Chimay Blue Trappist
73,CiderBoys,CiderBoys First Press Traditional Hard Cider
74,Cidersmiths,Cidersmiths Bristol Draught
75,Five Grain,Cinque
76,Cobra,Cobra
77,Collesi,Collesi Ambrata
78,Coopers Brewery,Coopers Pale Ale
79,Coors,Coors Light
80,Copse House Cider,Copse House Cider Landshire Medium
81,Cornish Orchards,Cornish Orchards Blush
82,Corona,Corona Extra
83,Courage,Courage Best Bitter
84,Crazy Mountain,Crazy Mountain Amber Ale
85,Cubanisto,Cubanisto Rum Beer
86,Curious,Curious Apple
87,Curious Brewery,Curious Session IPA
88,Dark Star,Dark Star Hophead
89,Damm,Daura Damm
90,Day of the Dead,Day of the Dead Amber Ale
91,Deeside,Deeside Craft Lager
92,Desperados,Desperados
93,Caledonian Brewery,Deuchars IPA
94,Devassa,Devassa
95,Sharp's,Doom Bar
96,Drygate,Drygate Ax Man Rye IPA
97,Duvel,Duvel Belgian Ale
98,Electric Bear,Edison British Pilsner
99,Einstok,Einstok Pale Ale
100,Wadworth,Epic Brew
101,Erdinger,Erdinger Alkoholfrei
102,Estrella Galicia,Estrella Galicia
103,Thatchers,Family Reserve English Sparkling Apple Wine
104,Fizzecco,Fizzecco Sparkling Perry
105,Flowers,Flowers Best Bitter
106,Flying Dog,Flying Dog Doggie Style Pale Ale
107,Foster's,Foster's Gold
108,Founders,Founders All Day IPA
109,Fourpure,Fourpure American Pale Ale
110,Franciscan Well,Franciscan Well Chieftain IPA
111,Franziskaner,Franziskaner Heffe Weissbier
112,Freedom Brewery,Freedom Amber
113,Friels,Friels First Press Vintage Cider
114,Fuller's,Frontier Craft Lager
115,Fruli,Fruli Strawberry Beer
116,Furstenberg,Furstenberg Premium
117,Fyne Ales,Fyne Ales Jarl
118,Gaymers,Gaymers Original Apple Cider
119,Whitbread,Gold Label
120,Goose Island,Goose Island 312
121,TailGate,Grapefruit IPA
122,Grolsch,Grolsch
123,Guinness,Guinness
124,Gun Brewery,Gun Brewery Project Babylon
125,Hardywood,Hardywood Gingerbread Stout
126,Harviestoun,Harveistoun Old Engine Oil
127,Hawkshead,Hawkshead Lager
128,Heineken,Heineken
129,Marston's,Help The Heroes
130,Westons,Henry Westons Country Perry
131,Herrljunga,Herrljunga Apple Cider
132,Heverlee,Heverlee
133,Higson's,Higson's Amber Ale
134,Hitachino,Hitachino Nest Red Rice Ale
135,Hoegaarden,Hoegaarden
136,Hogs Back,Hogs Back Chocolate Lager
137,Holsten,Holsten Pils
138,Hook Norton Brewery,Hooky
139,Indian Runner,Indian Runner Golden Ale
140,Innis & Gunn,Innis & Gunn Blood Red Sky
141,Island Records,Island Records Jamaican Porter
142,Jack Daniels,Jack Daniels Tennessee Cider
143,Thornbridge,Jaipur
144,Jennings,Jennings Clean Slate
145,John Smith's,John Smith's Bitter
146,Kaliber,Kaliber Alcohol Free Lager
147,Kentish Pip,Kentish Pip Skylark Sparkling Cider
148,Kingfisher,Kingfisher
149,Open Gate,Kinrise Bright Lager
150,Kirin,Kirin Ichiban
151,Knights,Knights Malvern Gold
152,Timothy Taylor's,Knowle Spring Blonde
153,Kopparberg,Kopparberg Black
154,Kozel,Kozel
155,Krombacher,Krombacher Low Alcohol Pils
156,Kronenbourg,Kronenbourg 1664
157,Krusovice,Krusovice Imperial
158,Kwak,Kwak
159,La Chouette,La Chouette
160,La Chouffe,La Chouffe Blonde
161,Lagunitas,Lagunitas 12th of Never
162,Lal Toofan,Lal Toofan
163,Leffe,Leffe Blonde
164,Liefmans,Liefmans Fruitesse
165,Little Creatures,Little Creatures Pale Ale
166,Lonerider,Lonerider Gunslinger Pale Ale
167,Lowenbrau,Lowenbrau
168,Lowlander,Lowlander American Pale Ale
169,Machlachlan's,Machlachlan's Best Ale
170,Maeloc,Maeloc Blackberry Cider
171,Magners,Magners Dark Fruit
172,Mahou,Mahou
173,Manns,Manns Brown Ale
174,McEwan's,McEwan's 60/-
175,Meantime,Meantime Anytime IPA
176,Angioletti,Mela Rossa
177,Menabrea,Menabrea Amber
178,Miller,Miller Genuine Draft
179,Modelo,Modelo Especial
180,Monteith's,Monteith's Bohemian Pilsner
181,Murphy's,Murphy's Irish Stout
182,My Generation,My Generation Pale Ale
183,Natch,Natch
184,Newcastle Brown Ale,Newcastle Brown Ale
185,Nomad,Nomad Beach House Pale
186,North Brewing,North Brewing Herzog
187,Old Blue Last,Old Blue Last
188,Morland,Old Golden Hen
189,Old Mout,Old Mout Berries & Cherries
190,Olde English,Olde English
191,Orchard Pig,Orchard Pig Charmer
192,Orchard Thieves,Orchard Thieves
193,Orpens,Orpens Fresh Pressed Apple Cider
194,Inveralmond Brewery,Ossian Golden Ale
195,Pabst,Pabst Blue Ribbon Beer
196,Pacifico,Pacifico Clara
197,Palax,Palax
198,Palma Cristal,Palma Cristal
199,Peroni,Peroni Ambra
200,Pig & Porter,Pig & Porter Dance First
201,Pilsner Urquell,Pilsner Urquell
202,Pimm's,Pimm's Mango & Passion Fruit Cider Cup
203,Pistonhead,Pistonhead Kustom Lager
204,Point,Point Amber Lager
205,Polar Monkeys,Polar Monkeys Blue Collar Amber Lager
206,Port City,Port City Optimal Wit
207,Porterhouse,Porterhouse Dublin Pale Ale
208,Portobello Brewing Co,Portobello London Pilsner
209,Pravha,Pravha
210,Quilmes,Quilmes
211,Red Stripe,Red Stripe
212,Redchurch,Redchurch Bethnal Pale Ale
213,Rekorderlig,Rekorderlig Apple Cider
214,Revisionist,Revisionist Craft Lager
215,Ringwood,Ringwood Fortyniner
216,Hardys & Hansons,Rocking Rudolph
217,Rothhammer,Rothhammer Golden Ale
218,Ruddles,Ruddles Best
219,No. 18 Yard Brewhouse,Rudolph's Reward
220,Sadler's Peaky Blinder,Sadler's Peaky Blinder Craft Lager
221,Sagres,Sagres
222,Saint,Saint Lager
223,Salitos,Salitos
224,Samuel Adams,Samuel Adams Boston Lager
225,San Miguel,San Miguel
226,Sandford Orchards,Sandford Orchards Berry Lane Cider
227,Sassy Cidre,Sassy Cidre Lâ€™imitable
228,Savanna,Savanna Dry Cider
229,Seven Bro7hers,Seven Bro7hers EPA
230,Sharps,Sharps 6 Vintage Blend
231,Backyard Brew,Shed Head
232,Sheppy's,Sheppy's 200 Special Edition Cider
233,Shipyard,Shipyard Pale Ale
234,Sierra Nevada,Sierra Nevada California IPA
235,Singha,Singha
236,Siren Craft Brew,Siren Craft Brew Calypso
237,Skinny Brands,Skinny Brands Lager
238,Smirnoff,Smirnoff Cider Mandarin & Pink Grapefruit
239,Sol,Sol
240,Somersby,Somersby Cider
241,Spaten,Spaten Helles
242,Belhaven Brewery,St Andrews Ale
243,St Stefanus,St Stefanus Blonde
244,Staropramen,Staropramen
245,Stella Artois,Stella Artois
246,Stewart,Stewart Edinburgh Gold
247,Stowford Press,Stowford Press
248,Strongbow,Strongbow
249,Sxollie,Sxollie Golden Delicous Cider
250,Symonds,Symonds Founder's Reserve Cider
251,Younger's,Tartan Special
252,Taunton Traditional Cider,Taunton Traditional Cider
253,Tennent's,Tennent's 80/- Ember
254,Tetley's,Tetley Smoothflow Bitter
255,The Cotswold Cider Co,The Cotswold Cider Co BlowHorn
256,Vic Ale,The Other Side of the Blond
257,Theakstons,Theakstons Best Bitter
258,Thistly Cross Cider,Thistly Cross Cider
259,Tiger,Tiger
260,Timmermans,Timmermans Peche
261,Tiny Rebel,Tiny Rebel Beatbox
262,Toast,Toast Purebread Pale Ale
263,Tsingtao,Tsingtao
264,Tuborg,Tuborg
265,Two Fingers,Two Fingers Aurelio
